ID,Country,Hash,Office,PDF,Autocad,Database,Image,Archive,Purchase total decrypt,Purchase malware immune,Purchase removal tool,Purchase single decrypt,Free decrypt
USF42-EAXZR-ZZZTZ-TZTZT-ZTZYY,US,1000170,102000,0,0,0,0,0,560,30,30,40,4
USF42-EAXZA-ZZZTZ-TZTZT-ZTZYY,US,1000170,104000,0,0,0,0,0,560,30,30,40,4
USF42-EAXZF-ZZZTZ-TZTZT-ZTZYY,US,1000170,106000,0,0,0,0,0,560,30,30,40,4
USF42-EAXZE-ZZZTZ-TZTZT-ZTZYY,US,1000170,108000,0,0,0,0,0,560,30,30,40,4
USF42-EAXXZ-ZZZTZ-TZTZT-ZTZYY,US,1000170,110000,0,0,0,0,0,560,30,30,40,4
USF42-EAXXR-ZZZTZ-TZTZT-ZTZYY,US,1000170,112000,0,0,0,0,0,560,30,30,40,4
USF42-EAXXA-ZZZTZ-TZTZT-ZTZYY,US,1000170,114000,0,0,0,0,0,560,30,30,40,4
USF42-EAXXF-ZZZTZ-TZTZT-ZTZYY,US,1000170,116000,0,0,0,0,0,560,30,30,40,4
USF42-EAXXE-ZZZTZ-TZTZT-ZTZYY,US,1000170,118000,0,0,0,0,0,560,30,30,40,4
USF42-EAXRZ-ZZZTZ-TZTZT-ZTZYY,US,1000170,120000,0,0,0,0,0,560,30,30,40,4
USF42-EAXRR-ZZZTZ-TZTZT-ZTZYY,US,1000170,122000,0,0,0,0,0,560,30,30,40,4
USF42-EAXRA-ZZZTZ-TZTZT-ZTZYY,US,1000170,124000,0,0,0,0,0,560,30,30,40,4
USF42-EAXRF-ZZZTZ-TZTZT-ZTZYY,US,1000170,126000,0,0,0,0,0,560,30,30,40,4
USF42-EAXRE-ZZZTZ-TZTZT-ZTZYY,US,1000170,128000,0,0,0,0,0,560,30,30,40,4
USF42-EAXOZ-ZZZTZ-TZTZT-ZTZYY,US,1000170,130000,0,0,0,0,0,560,30,30,40,4
USF42-EAXOR-ZZZTZ-TZTZT-ZTZYY,US,1000170,132000,0,0,0,0,0,560,30,30,40,4
USF42-EAXOA-ZZZTZ-TZTZT-ZTZYY,US,1000170,134000,0,0,0,0,0,560,30,30,40,4
USF42-EAXOF-ZZZTZ-TZTZT-ZTZYY,US,1000170,136000,0,0,0,0,0,560,30,30,40,4
USF42-EAXOE-ZZZTZ-TZTZT-ZTZYY,US,1000170,138000,0,0,0,0,0,560,30,30,40,4
USF42-EAXAZ-ZZZTZ-TZTZT-ZTZYY,US,1000170,140000,0,0,0,0,0,560,30,30,40,4
USF42-EAXAR-ZZZTZ-TZTZT-ZTZYY,US,1000170,142000,0,0,0,0,0,560,30,30,40,4
USF42-EAXAA-ZZZTZ-TZTZT-ZTZYY,US,1000170,144000,0,0,0,0,0,560,30,30,40,4
USF42-EAXAF-ZZZTZ-TZTZT-ZTZYY,US,1000170,146000,0,0,0,0,0,560,30,30,40,4
USF42-EAXAE-ZZZTZ-TZTZT-ZTZYY,US,1000170,148000,0,0,0,0,0,560,30,30,40,4
USF42-EAXHZ-ZZZTZ-TZTZT-ZTZYY,US,1000170,150000,0,0,0,0,0,560,30,30,40,4
USF42-EAXHR-ZZZTZ-TZTZT-ZTZYY,US,1000170,152000,0,0,0,0,0,560,30,30,40,4
USF42-EAXHA-ZZZTZ-TZTZT-ZTZYY,US,1000170,154000,0,0,0,0,0,560,30,30,40,4
USF42-EAXHF-ZZZTZ-TZTZT-ZTZYY,US,1000170,156000,0,0,0,0,0,560,30,30,40,4
USF42-EAXHE-ZZZTZ-TZTZT-ZTZYY,US,1000170,158000,0,0,0,0,0,560,30,30,40,4
USF42-EAXFZ-ZZZTZ-TZTZT-ZTZYY,US,1000170,160000,0,0,0,0,0,560,30,30,40,4
USF42-EAXFR-ZZZTZ-TZTZT-ZTZYY,US,1000170,162000,0,0,0,0,0,560,30,30,40,4
USF42-EAXFA-ZZZTZ-TZTZT-ZTZYY,US,1000170,164000,0,0,0,0,0,560,30,30,40,4
USF42-EAXFF-ZZZTZ-TZTZT-ZTZYY,US,1000170,166000,0,0,0,0,0,560,30,30,40,4
USF42-EAXFE-ZZZTZ-TZTZT-ZTZYY,US,1000170,168000,0,0,0,0,0,560,30,30,40,4
USF42-EAXGZ-ZZZTZ-TZTZT-ZTZYY,US,1000170,170000,0,0,0,0,0,560,30,30,40,4
USF42-EAXGR-ZZZTZ-TZTZT-ZTZYY,US,1000170,172000,0,0,0,0,0,560,30,30,40,4
USF42-EAXGA-ZZZTZ-TZTZT-ZTZYY,US,1000170,174000,0,0,0,0,0,560,30,30,40,4
USF42-EAXGF-ZZZTZ-TZTZT-ZTZYY,US,1000170,176000,0,0,0,0,0,560,30,30,40,4
USF42-EAXGE-ZZZTZ-TZTZT-ZTZYY,US,1000170,178000,0,0,0,0,0,560,30,30,40,4
USF42-EAXEZ-ZZZTZ-TZTZT-ZTZYY,US,1000170,180000,0,0,0,0,0,560,30,30,40,4
USF42-EAXER-ZZZTZ-TZTZT-ZTZYY,US,1000170,182000,0,0,0,0,0,560,30,30,40,4
USF42-EAXEA-ZZZTZ-TZTZT-ZTZYY,US,1000170,184000,0,0,0,0,0,560,30,30,40,4
USF42-EAXEF-ZZZTZ-TZTZT-ZTZYY,US,1000170,186000,0,0,0,0,0,560,30,30,40,4
USF42-EAXEE-ZZZTZ-TZTZT-ZTZYY,US,1000170,188000,0,0,0,0,0,560,30,30,40,4
USF42-EAXKZ-ZZZTZ-TZTZT-ZTZYY,US,1000170,190000,0,0,0,0,0,560,30,30,40,4
USF42-EAXKR-ZZZTZ-TZTZT-ZTZYY,US,1000170,192000,0,0,0,0,0,560,30,30,40,4
USF42-EAXKA-ZZZTZ-TZTZT-ZTZYY,US,1000170,194000,0,0,0,0,0,560,30,30,40,4
USF42-EAXKF-ZZZTZ-TZTZT-ZTZYY,US,1000170,196000,0,0,0,0,0,560,30,30,40,4
USF42-EAXKE-ZZZTZ-TZTZT-ZTZYY,US,1000170,198000,0,0,0,0,0,560,30,30,40,4
USF42-EARZZ-ZZZTZ-TZTZT-ZTZYY,US,1000170,200000,0,0,0,0,0,560,30,30,40,4
