ID,Country,Hash,Office,PDF,Autocad,Database,Image,Archive,Purchase total decrypt,Purchase malware immune,Purchase removal tool,Purchase single decrypt,Free decrypt
USF42-EAZTZ-TZTZT-ZTXZA-ZZZYY,US,1000170,0,0,0,0,0,104000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXZF-ZZZYY,US,1000170,0,0,0,0,0,106000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXZE-ZZZYY,US,1000170,0,0,0,0,0,108000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXXZ-ZZZYY,US,1000170,0,0,0,0,0,110000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXXR-ZZZYY,US,1000170,0,0,0,0,0,112000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXXA-ZZZYY,US,1000170,0,0,0,0,0,114000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXXF-ZZZYY,US,1000170,0,0,0,0,0,116000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXXE-ZZZYY,US,1000170,0,0,0,0,0,118000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXRZ-ZZZYY,US,1000170,0,0,0,0,0,120000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXRR-ZZZYY,US,1000170,0,0,0,0,0,122000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXRA-ZZZYY,US,1000170,0,0,0,0,0,124000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXRF-ZZZYY,US,1000170,0,0,0,0,0,126000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXRE-ZZZYY,US,1000170,0,0,0,0,0,128000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXOZ-ZZZYY,US,1000170,0,0,0,0,0,130000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXOR-ZZZYY,US,1000170,0,0,0,0,0,132000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXOA-ZZZYY,US,1000170,0,0,0,0,0,134000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXOF-ZZZYY,US,1000170,0,0,0,0,0,136000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXOE-ZZZYY,US,1000170,0,0,0,0,0,138000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXAZ-ZZZYY,US,1000170,0,0,0,0,0,140000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXAR-ZZZYY,US,1000170,0,0,0,0,0,142000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXAA-ZZZYY,US,1000170,0,0,0,0,0,144000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXAF-ZZZYY,US,1000170,0,0,0,0,0,146000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXAE-ZZZYY,US,1000170,0,0,0,0,0,148000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXHZ-ZZZYY,US,1000170,0,0,0,0,0,150000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXHR-ZZZYY,US,1000170,0,0,0,0,0,152000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXHA-ZZZYY,US,1000170,0,0,0,0,0,154000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXHF-ZZZYY,US,1000170,0,0,0,0,0,156000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXHE-ZZZYY,US,1000170,0,0,0,0,0,158000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXFZ-ZZZYY,US,1000170,0,0,0,0,0,160000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXFR-ZZZYY,US,1000170,0,0,0,0,0,162000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXFA-ZZZYY,US,1000170,0,0,0,0,0,164000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXFF-ZZZYY,US,1000170,0,0,0,0,0,166000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXFE-ZZZYY,US,1000170,0,0,0,0,0,168000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXGZ-ZZZYY,US,1000170,0,0,0,0,0,170000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXGR-ZZZYY,US,1000170,0,0,0,0,0,172000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXGA-ZZZYY,US,1000170,0,0,0,0,0,174000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXGF-ZZZYY,US,1000170,0,0,0,0,0,176000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXGE-ZZZYY,US,1000170,0,0,0,0,0,178000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXEZ-ZZZYY,US,1000170,0,0,0,0,0,180000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXER-ZZZYY,US,1000170,0,0,0,0,0,182000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXEA-ZZZYY,US,1000170,0,0,0,0,0,184000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXEF-ZZZYY,US,1000170,0,0,0,0,0,186000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXEE-ZZZYY,US,1000170,0,0,0,0,0,188000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXKZ-ZZZYY,US,1000170,0,0,0,0,0,190000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXKR-ZZZYY,US,1000170,0,0,0,0,0,192000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXKA-ZZZYY,US,1000170,0,0,0,0,0,194000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXKF-ZZZYY,US,1000170,0,0,0,0,0,196000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTXKE-ZZZYY,US,1000170,0,0,0,0,0,198000,140,30,30,40,2
USF42-EAZTZ-TZTZT-ZTRZZ-ZZZYY,US,1000170,0,0,0,0,0,200000,140,30,30,40,2
